Gene ID	Gene Name	ERR2704715	ERR2704716	ERR2704714	ERR2704720	ERR2704719	ERR2704713	ERR2704717	ERR2704718	ERR2704712
ENSG00000003393	ALS2	1161	1603	1346	901	876	1122	1917	742	1266
ENSG00000003400	CASP10	219	188	226	160	160	167	248	57	174
ENSG00000003402	CFLAR	3449	5265	3831	1883	1829	2671	4272	1204	4263
ENSG00000003436	TFPI	809	891	991	1014	864	588	998	111	1194
ENSG00000003509	NDUFAF7	298	310	293	227	279	233	403	385	276
ENSG00000003756	RBM5	3396	3410	3334	2654	3165	2446	3534	4681	3783
ENSG00000003987	MTMR7	6	10	15	13	11	12	12	49	19
ENSG00000003989	SLC7A2	251	316	287	342	310	456	395	244	471
ENSG00000004059	ARF5	1005	791	1131	980	932	747	681	1221	1099
ENSG00000004139	SARM1	75	63	95	54	46	77	91	210	95
ENSG00000004142	POLDIP2	1649	1653	1504	1586	1335	1287	1404	1077	1710
ENSG00000004399	PLXND1	3880	3525	4720	4409	3032	3487	3784	1830	5540
ENSG00000004455	AK2	1737	1749	1739	1873	1951	1402	1937	1548	2034
ENSG00000004468	CD38	20	21	20	11	14	17	25	1	19
ENSG00000004478	FKBP4	1410	1421	1011	1678	1690	1692	1674	1215	1767
ENSG00000004487	KDM1A	2056	1922	1917	2319	2448	1818	2336	3063	2158
ENSG00000004534	RBM6	2193	2803	3029	2667	3767	2136	3338	4095	3573
ENSG00000004660	CAMKK1	659	532	406	356	351	481	454	123	526
ENSG00000004700	RECQL	183	241	207	188	239	228	331	331	237
ENSG00000004766	VPS50	271	298	239	197	206	225	390	370	319
ENSG00000004776	HSPB6	803	723	485	234	228	328	277	44	461
ENSG00000004777	ARHGAP33	1361	1302	1479	879	872	990	1001	2144	1788
ENSG00000004779	NDUFAB1	1718	1846	1523	1609	1712	1383	1546	566	1647
ENSG00000004799	PDK4	4610	11482	2461	710	922	3126	7456	40	3272
ENSG00000004809	SLC22A16	0	1	0	3	3	7	0	9	2
ENSG00000004838	ZMYND10	65	61	26	11	18	26	33	53	43
ENSG00000004846	ABCB5	0	0	2	0	1	0	0	22	0
ENSG00000004848	ARX	0	0	0	0	0	0	0	2	0
ENSG00000004864	SLC25A13	288	340	319	417	457	253	320	315	361
ENSG00000004866	ST7	1041	884	681	963	953	1000	929	331	939
ENSG00000004897	CDC27	705	912	693	737	698	671	899	969	796
ENSG00000004939	SLC4A1	369	441	2114	2898	2534	2209	794	258	789
ENSG00000004948	CALCR	0	0	0	0	0	0	0	4	0
ENSG00000004961	HCCS	353	405	326	282	235	271	423	153	359
ENSG00000004975	DVL2	1079	1404	1219	1341	1250	1190	1181	1531	1353
ENSG00000005001	PRSS22	0	0	0	0	0	0	0	14	0
ENSG00000005007	UPF1	1474	1509	1406	1677	1321	1529	1447	2365	1766
ENSG00000005020	SKAP2	34	32	39	38	59	48	70	67	40
ENSG00000005022	SLC25A5	3394	3742	3668	4743	5005	3597	3612	1397	4199
ENSG00000005059	MCUB	46	41	39	52	42	46	61	105	47
ENSG00000005073	HOXA11	0	0	0	1	1	0	0	484	1
ENSG00000005075	POLR2J	389	307	417	353	442	309	273	381	488
ENSG00000005100	DHX33	285	294	363	300	237	233	341	763	371
ENSG00000005102	MEOX1	423	427	424	129	173	266	510	286	339
ENSG00000005108	THSD7A	158	157	175	302	198	189	184	434	245
ENSG00000005156	LIG3	462	554	413	827	676	635	470	1102	623
ENSG00000005175	RPAP3	332	408	273	449	397	389	417	494	393
ENSG00000005187	ACSM3	50	113	173	314	256	72	108	73	151
ENSG00000005189	REXO5	479	498	425	421	340	338	527	149	404
ENSG00000005194	CIAPIN1	876	892	916	1106	933	745	754	711	952
ENSG00000005206	SPPL2B	1370	1484	1465	1262	1372	1044	964	1716	1835
ENSG00000005238	FAM214B	411	485	579	507	473	416	337	442	453
ENSG00000005243	COPZ2	231	167	217	133	114	116	169	52	204
ENSG00000005249	PRKAR2B	515	733	426	459	453	663	818	183	490
ENSG00000005302	MSL3	352	375	387	378	360	263	448	732	493
ENSG00000005339	CREBBP	1860	2307	2662	2145	1356	2146	2509	3444	2455
ENSG00000005379	TSPOAP1	1477	1434	1487	617	776	980	1541	1585	1621
ENSG00000005381	MPO	58	258	54	2	21	135	60	10	18
ENSG00000005421	PON1	6	1	5	0	2	2	1	2	2
ENSG00000005436	GCFC2	196	179	173	145	177	174	214	375	218
ENSG00000005448	WDR54	277	269	367	364	412	235	243	307	337
ENSG00000005469	CROT	65	85	92	66	80	73	132	303	109
ENSG00000005471	ABCB4	346	445	298	210	186	242	517	64	288
ENSG00000005483	KMT2E	1519	2027	1420	1746	1492	1354	1775	1897	1423
ENSG00000005486	RHBDD2	531	443	470	520	529	383	276	588	584
ENSG00000005513	SOX8	233	249	235	200	180	219	197	712	315
ENSG00000005700	IBTK	661	936	549	614	637	789	1095	791	870
ENSG00000005801	ZNF195	215	219	206	167	199	169	295	462	351
ENSG00000005810	MYCBP2	552	863	533	655	461	615	808	1158	619
ENSG00000005812	FBXL3	213	320	253	163	141	177	371	226	228
ENSG00000005844	ITGAL	21	23	20	14	15	10	34	22	18
ENSG00000005882	PDK2	815	1187	1190	856	671	745	904	443	1029
ENSG00000005884	ITGA3	1116	938	1205	1245	1068	915	838	283	1365
ENSG00000005889	ZFX	403	364	414	400	240	560	850	641	776
ENSG00000005893	LAMP2	702	1128	756	702	653	856	1151	561	821
ENSG00000005961	ITGA2B	186	226	147	70	96	126	131	131	78
ENSG00000005981	ASB4	95	168	47	5	2	47	190	26	19
ENSG00000006007	GDE1	922	1162	813	751	743	796	1103	611	801
ENSG00000006015	REX1BD	479	466	571	513	545	385	356	519	665
ENSG00000006016	CRLF1	6	7	5	4	4	3	8	881	4
ENSG00000006025	OSBPL7	398	426	455	248	322	293	354	532	662
ENSG00000006042	TMEM98	947	684	1160	1059	1064	740	738	2234	1407
ENSG00000006047	YBX2	149	152	173	183	171	128	150	79	277
ENSG00000006059	KRT33A	0	0	0	0	0	0	0	0	0
ENSG00000006062	MAP3K14	568	663	365	257	167	423	402	250	359
ENSG00000006071	ABCC8	11	18	5	52	11	8	89	32	4
ENSG00000006116	CACNG3	0	0	3	0	1	1	0	0	1
ENSG00000006118	TMEM132A	682	550	922	1393	1238	728	488	2935	1518
ENSG00000006125	AP2B1	2830	3184	2981	2994	2821	2864	3516	3106	2937
ENSG00000006128	TAC1	6	2	9	0	3	0	8	6	4
ENSG00000006194	ZNF263	482	372	386	407	340	334	483	713	494
ENSG00000006210	CX3CL1	303	196	187	157	107	123	139	53	213
ENSG00000006282	SPATA20	1612	1307	761	895	1121	1212	842	1258	1293
ENSG00000006283	CACNA1G	802	555	693	1061	958	731	610	4681	885
ENSG00000006327	TNFRSF12A	962	298	522	942	662	781	253	82	753
ENSG00000006377	DLX6	0	1	0	0	0	2	0	51	0
ENSG00000006432	MAP3K9	133	71	95	211	157	143	51	103	143
ENSG00000006451	RALA	565	613	574	559	665	590	811	638	654
ENSG00000006453	BAIAP2L1	65	63	45	133	115	50	38	242	75
ENSG00000006459	KDM7A	489	626	471	507	423	456	578	482	369
ENSG00000006468	ETV1	855	1351	1550	1016	1102	1233	2337	404	1625
ENSG00000006530	AGK	493	624	445	373	386	408	612	540	544
ENSG00000006534	ALDH3B1	383	523	388	54	47	181	260	40	258
ENSG00000006555	TTC22	0	1	0	1	1	0	0	41	1
ENSG00000006576	PHTF2	521	676	411	497	422	570	813	432	538
ENSG00000006606	CCL26	1	5	2	2	1	3	3	0	4
ENSG00000006607	FARP2	348	425	440	388	329	360	427	773	569
ENSG00000006611	USH1C	71	63	346	521	177	128	96	101	202
ENSG00000006625	GGCT	152	132	118	206	261	142	203	145	227
ENSG00000006634	DBF4	91	123	115	182	161	78	176	350	195
ENSG00000006638	TBXA2R	78	75	62	25	24	32	70	7	63
ENSG00000006652	IFRD1	531	597	396	503	493	535	483	516	416
ENSG00000006659	LGALS14	0	0	0	0	0	0	0	2	0
ENSG00000006695	COX10	329	519	454	421	435	352	486	176	567
ENSG00000006704	GTF2IRD1	1749	814	958	1024	861	1111	756	1249	1038
ENSG00000006712	PAF1	1092	933	1039	1105	913	763	1001	946	943
ENSG00000006715	VPS41	689	848	738	679	694	617	940	1072	839
ENSG00000006740	ARHGAP44	219	367	236	160	166	180	315	178	272
ENSG00000006744	ELAC2	933	864	1048	1124	1088	827	849	935	1229
ENSG00000006747	SCIN	0	5	2	5	12	2	4	60	4
ENSG00000006756	ARSD	543	539	580	427	347	528	701	236	748
ENSG00000006757	PNPLA4	156	179	175	194	155	135	173	124	227
ENSG00000006788	MYH13	5	2	4	4	3	7	7	12	13
ENSG00000006831	ADIPOR2	1140	1377	989	1119	1001	1140	1169	929	1206
ENSG00000006837	CDKL3	11	13	12	7	20	8	21	22	19
ENSG00000007001	UPP2	1	1	1	1	0	2	3	14	1
ENSG00000007038	PRSS21	2	2	3	4	0	0	1	7	0
ENSG00000007047	MARK4	1294	1492	1581	1260	1217	1121	1053	992	1317
ENSG00000007062	PROM1	120	98	222	56	80	124	290	371	101
ENSG00000007080	CCDC124	757	731	799	737	742	629	627	672	836
ENSG00000007129	CEACAM21	19	17	27	27	31	19	20	5	33
ENSG00000007168	PAFAH1B1	2538	2709	2272	2215	2263	2386	2694	2484	2592
ENSG00000007171	NOS2	73	70	40	43	45	43	66	39	47
ENSG00000007174	DNAH9	3	2	10	8	12	5	3	26	5
ENSG00000007202	KIAA0100	1309	1572	1255	1611	1240	1459	1372	2427	1662
ENSG00000007216	SLC13A2	0	0	0	0	0	0	0	0	0
ENSG00000007237	GAS7	2004	1611	1204	661	430	1000	1724	621	1164
ENSG00000007255	TRAPPC6A	180	137	149	145	169	118	97	102	154
ENSG00000007264	MATK	11	12	8	10	4	8	14	16	8
ENSG00000007306	CEACAM7	0	0	0	0	0	0	0	0	0
ENSG00000007312	CD79B	7	13	6	6	7	4	10	6	8
ENSG00000007314	SCN4A	38	57	62	26	29	34	25	32	62
ENSG00000007341	ST7L	127	148	140	132	131	123	173	237	172
ENSG00000007350	TKTL1	52	57	45	20	10	48	65	1	47
ENSG00000007372	PAX6	3	3	1	2	3	0	0	5	2
ENSG00000007376	RPUSD1	234	147	231	171	156	112	171	310	247
ENSG00000007384	RHBDF1	1344	970	1122	955	847	941	699	800	1093
ENSG00000007392	LUC7L	1421	1161	1265	1046	1381	919	1258	2968	1714
ENSG00000007402	CACNA2D2	601	1007	661	514	388	501	515	249	501
ENSG00000007516	BAIAP3	77	140	75	37	28	67	59	163	88
ENSG00000007520	TSR3	506	378	524	453	383	296	375	388	547
ENSG00000007541	PIGQ	609	591	686	823	761	530	441	996	880
ENSG00000007545	CRAMP1	547	523	599	498	469	403	587	885	593
ENSG00000007866	TEAD3	2209	2120	1990	2873	2798	1859	1304	2128	2331
ENSG00000007908	SELE	66	26	50	24	10	49	45	216	29
ENSG00000007923	DNAJC11	721	848	806	695	589	584	805	673	903
ENSG00000007933	FMO3	3	2	4	2	0	1	0	1	0
ENSG00000007944	MYLIP	383	389	475	475	399	274	436	534	446
ENSG00000007952	NOX1	1	2	3	1	1	0	1	2	2
ENSG00000007968	E2F2	114	77	156	175	154	161	132	265	193
ENSG00000008018	PSMB1	1282	1049	1049	1251	1294	916	1112	1167	1230
ENSG00000008056	SYN1	227	194	204	126	100	138	191	25	187
ENSG00000008083	JARID2	655	769	552	696	552	611	810	1727	635
ENSG00000008086	CDKL5	795	1214	851	764	571	837	1091	890	1154
ENSG00000008118	CAMK1G	141	95	143	132	145	99	119	154	150
ENSG00000008128	CDK11A	42	32	38	28	31	28	27	58	48
ENSG00000008130	NADK	653	489	636	510	497	548	452	920	724
ENSG00000008196	TFAP2B	5	1	4	5	1	1	1	642	0
ENSG00000008197	TFAP2D	0	0	0	0	0	0	0	0	0
ENSG00000008226	DLEC1	4	5	10	12	9	5	1	13	15
ENSG00000008256	CYTH3	2059	2038	2122	1656	1174	1500	1796	1109	2080
ENSG00000008277	ADAM22	144	189	180	175	134	154	243	752	252
ENSG00000008282	SYPL1	492	615	511	473	409	534	621	313	577
ENSG00000008283	CYB561	160	168	141	87	87	105	127	162	155
ENSG00000008294	SPAG9	1914	2367	1579	1777	1425	2069	2275	2616	1884
ENSG00000008300	CELSR3	134	112	115	131	130	111	106	71	177
ENSG00000008311	AASS	781	993	914	498	488	681	1046	1267	937
ENSG00000008323	PLEKHG6	1	0	0	3	3	1	0	15	2
ENSG00000008324	SS18L2	125	115	92	99	110	78	109	199	113
ENSG00000008382	MPND	168	141	153	190	151	144	128	132	173
ENSG00000008394	MGST1	30	30	58	97	101	30	32	121	67
ENSG00000008405	CRY1	467	501	378	397	383	394	428	735	418
ENSG00000008438	PGLYRP1	0	1	0	0	0	2	1	3	0
ENSG00000008441	NFIX	646	667	1066	623	481	672	640	1681	1019
ENSG00000008513	ST3GAL1	1226	2479	2323	1369	1006	1646	2642	987	1712
ENSG00000008516	MMP25	46	42	58	23	29	40	83	34	55
ENSG00000008517	IL32	521	511	687	222	369	418	459	76	672
ENSG00000008710	PKD1	4144	3978	4666	2878	1949	3107	3403	5082	4440
ENSG00000008735	MAPK8IP2	12	8	22	17	17	17	18	82	26
ENSG00000008838	MED24	1676	1560	1536	1657	1500	1479	1399	2210	1728
ENSG00000008853	RHOBTB2	1473	1674	1509	2156	1479	1505	1560	589	1374
ENSG00000008869	HEATR5B	822	958	939	725	649	819	1047	912	806
ENSG00000008952	SEC62	663	694	590	531	626	531	823	731	655
ENSG00000008988	RPS20	9582	6999	8597	8280	11168	6785	7447	10021	9609
ENSG00000009307	CSDE1	6680	7693	6161	6693	6785	6143	8733	6503	6044
ENSG00000009335	UBE3C	982	1039	1076	910	661	909	1090	866	1044
ENSG00000009413	REV3L	616	674	507	581	483	686	880	622	696
ENSG00000009694	TENM1	4	7	6	21	19	9	5	599	8
ENSG00000009709	PAX7	1	0	0	5	0	0	0	257	0
ENSG00000009724	MASP2	68	84	83	19	19	16	76	73	49
ENSG00000009765	IYD	0	8	0	0	3	0	2	0	0
ENSG00000009780	FAM76A	195	228	126	120	123	155	189	156	156
ENSG00000009790	TRAF3IP3	18	19	10	4	2	17	12	12	19
ENSG00000009830	POMT2	378	343	530	477	374	394	392	743	557
ENSG00000009844	VTA1	476	615	495	478	458	469	615	518	562
ENSG00000009950	MLXIPL	0	0	1	5	1	3	0	2	4
ENSG00000009954	BAZ1B	1177	1132	1194	1171	1032	1222	1460	2483	1440
ENSG00000010017	RANBP9	772	983	740	707	724	750	1039	673	768
ENSG00000010030	ETV7	0	0	0	0	0	0	0	1	1
ENSG00000010072	SPRTN	70	70	81	63	51	69	104	109	68
ENSG00000010165	EEF1AKNMT	312	344	396	329	277	299	387	555	402
ENSG00000010219	DYRK4	283	240	267	276	304	142	231	240	282
ENSG00000010244	ZNF207	1856	2236	1919	2241	2318	1918	2127	3301	2308
ENSG00000010256	UQCRC1	5773	5888	5548	5585	5476	4788	4254	1574	5800
ENSG00000010270	STARD3NL	681	721	572	689	829	613	675	478	765
ENSG00000010278	CD9	827	642	683	504	518	555	760	281	527
ENSG00000010282	HHATL	2213	3029	1263	353	248	871	2325	9	664
ENSG00000010292	NCAPD2	1367	1701	2162	2018	1638	1699	1858	2638	2315
ENSG00000010295	IFFO1	519	357	546	581	511	420	388	683	525
ENSG00000010310	GIPR	489	468	372	204	223	276	427	5	445
ENSG00000010318	PHF7	195	356	305	141	121	180	305	89	224
ENSG00000010319	SEMA3G	270	222	198	105	151	252	273	143	259
ENSG00000010322	NISCH	4180	3870	3869	4268	3782	3449	3321	5547	4387
ENSG00000010327	STAB1	1115	1042	1137	1373	1038	991	960	641	1338
ENSG00000010361	FUZ	316	297	349	220	252	188	316	178	321
ENSG00000010379	SLC6A13	38	122	40	31	41	28	87	12	60
ENSG00000010404	IDS	713	839	632	435	525	528	796	805	627
ENSG00000010438	PRSS3	1	0	1	4	1	2	0	6	1
ENSG00000010539	ZNF200	145	120	126	68	47	75	184	131	132
ENSG00000010610	CD4	88	81	73	121	103	67	78	56	113
ENSG00000010626	LRRC23	158	159	142	106	143	131	189	87	196
ENSG00000010671	BTK	52	35	44	29	36	27	54	29	30
ENSG00000010704	HFE	30	41	49	36	42	41	60	124	55
ENSG00000010803	SCMH1	1430	1473	1346	1278	1110	1053	1211	1373	1494
ENSG00000010810	FYN	1610	1231	1493	1132	1035	1111	1486	1159	1417
ENSG00000010818	HIVEP2	982	761	727	641	442	849	831	363	675
ENSG00000010932	FMO1	3	3	10	8	7	6	2	6	11
ENSG00000011007	ELOA	784	798	731	846	790	658	981	835	757
ENSG00000011009	LYPLA2	629	522	608	558	480	456	431	812	753
ENSG00000011021	CLCN6	1283	1718	1106	1303	1142	1190	1112	1057	1210
ENSG00000011028	MRC2	1769	1892	3406	2973	2602	1785	1347	4902	2913
ENSG00000011052	NME1-NME2	0	0	0	1	0	1	0	0	1
ENSG00000011083	SLC6A7	5	0	0	4	3	1	2	2	0
ENSG00000011105	TSPAN9	11128	13334	8399	11206	8968	10523	9415	2092	10733
ENSG00000011114	BTBD7	561	673	640	534	458	559	737	992	784
ENSG00000011132	APBA3	314	293	330	281	274	292	309	434	382
ENSG00000011143	MKS1	298	295	317	242	294	236	368	463	353
ENSG00000011198	ABHD5	141	143	135	174	153	118	129	141	168
ENSG00000011201	ANOS1	175	273	269	382	171	217	274	422	245
ENSG00000011243	AKAP8L	1554	1617	1522	1513	1650	1348	1398	1642	1540
ENSG00000011258	MBTD1	396	594	581	415	431	309	790	951	589
ENSG00000011260	UTP18	237	267	188	208	262	234	239	443	237
ENSG00000011275	RNF216	1192	1422	1387	1079	785	963	1369	944	1278
ENSG00000011295	TTC19	736	882	726	716	749	583	808	687	798
ENSG00000011304	PTBP1	2099	2367	2921	2869	2496	2106	2124	5683	3248
ENSG00000011332	DPF1	78	54	43	117	69	76	46	264	109
ENSG00000011347	SYT7	42	58	64	143	96	47	43	43	82
ENSG00000011376	LARS2	754	976	788	953	674	824	855	646	935
ENSG00000011405	PIK3C2A	636	810	576	570	638	764	921	989	790
ENSG00000011422	PLAUR	110	130	97	115	141	124	107	336	162
ENSG00000011426	ANLN	1946	2454	1622	2248	1625	2895	2375	688	2160
ENSG00000011451	WIZ	1492	1631	1646	1498	1240	1354	1482	1517	1835
ENSG00000011454	RABGAP1	1287	1576	1520	1606	1406	1387	1644	1936	1488
ENSG00000011465	DCN	6225	6828	7564	2548	3499	5175	7156	5718	5930
ENSG00000011478	QPCTL	130	147	146	165	211	104	94	98	120
ENSG00000011485	PPP5C	1826	2087	1820	1976	1681	1810	1660	1626	2158
ENSG00000011523	CEP68	618	780	781	448	582	705	772	596	762
ENSG00000011566	MAP4K3	574	825	600	634	537	644	877	552	646
ENSG00000011590	ZBTB32	0	2	2	4	5	2	0	8	10
ENSG00000011600	TYROBP	72	50	55	37	53	25	47	35	57
ENSG00000011638	TMEM159	789	1292	966	379	315	759	1607	97	836
ENSG00000011677	GABRA3	0	0	1	0	7	5	2	63	5
ENSG00000012048	BRCA1	179	178	212	268	210	222	335	397	310
ENSG00000012061	ERCC1	1093	1210	1228	1064	1247	908	1074	891	1391
ENSG00000012124	CD22	14	4	28	67	77	53	5	8	28
ENSG00000012171	SEMA3B	1236	750	911	632	612	648	577	1184	834
ENSG00000012174	MBTPS2	281	397	333	334	291	333	422	314	313
ENSG00000012211	PRICKLE3	92	117	91	89	137	96	80	80	99
ENSG00000012223	LTF	13	47	5	3	4	12	2	1	7
ENSG00000012232	EXTL3	1767	3097	1814	1625	1297	1932	2011	1678	2127
ENSG00000012504	NR1H4	0	0	0	1	0	2	0	0	0
ENSG00000012660	ELOVL5	719	600	517	817	726	773	694	960	589
ENSG00000012779	ALOX5	44	51	50	56	41	40	43	6	62
ENSG00000012817	KDM5D	1518	1780	1777	3	1210	19	31	1863	25
ENSG00000012822	CALCOCO1	3156	3551	3944	2416	2386	2206	3229	2671	2884
ENSG00000012963	UBR7	816	867	785	720	742	726	844	721	860
ENSG00000012983	MAP4K5	498	653	467	495	567	572	768	1006	716
ENSG00000013016	EHD3	799	1130	997	545	386	694	1032	241	1100
ENSG00000013275	PSMC4	932	776	801	981	935	606	725	1070	971
ENSG00000013288	MAN2B2	368	491	381	458	293	339	457	600	599
ENSG00000013293	SLC7A14	1	0	5	2	4	1	10	0	3
ENSG00000013297	CLDN11	33	28	66	86	71	34	40	93	67
ENSG00000013306	SLC25A39	1702	1581	2260	3424	3342	2620	1291	1390	2611
ENSG00000013364	MVP	285	255	274	182	135	184	210	115	252
ENSG00000013374	NUB1	512	569	562	514	531	409	680	735	653
ENSG00000013375	PGM3	556	600	520	483	537	508	685	854	654
ENSG00000013392	RWDD2A	162	160	147	99	118	85	203	100	149
ENSG00000013441	CLK1	2427	2962	2611	3204	2966	2653	3210	3166	3006
ENSG00000013503	POLR3B	195	290	233	233	180	209	285	327	200
ENSG00000013523	ANGEL1	898	1084	927	921	680	742	652	832	773
ENSG00000013561	RNF14	508	689	451	513	530	555	648	274	610
ENSG00000013563	DNASE1L1	135	177	144	132	93	112	115	87	145
ENSG00000013573	DDX11	645	691	1026	599	830	463	800	1668	1063
ENSG00000013583	HEBP1	744	689	721	589	676	599	754	366	703
ENSG00000013588	GPRC5A	84	47	94	337	103	60	54	84	71
ENSG00000013619	MAMLD1	203	179	183	233	138	182	214	220	228
ENSG00000013725	CD6	0	5	4	5	7	5	7	5	5
ENSG00000013810	TACC3	1082	1115	1802	1518	1156	1145	1140	1649	1820
ENSG00000014123	UFL1	620	927	554	477	450	627	1024	435	649
ENSG00000014138	POLA2	86	84	103	161	199	93	85	178	162
ENSG00000014164	ZC3H3	386	420	511	447	377	383	354	390	477
ENSG00000014216	CAPN1	1774	1591	1832	1809	1724	1465	1507	1698	1917
ENSG00000014257	ACP3	11	16	16	12	13	18	17	25	6
ENSG00000014641	MDH1	12607	13544	10379	11517	11637	11207	13362	1471	11533
ENSG00000014824	SLC30A9	600	791	558	602	630	648	878	825	709
ENSG00000014914	MTMR11	360	387	472	406	440	383	313	869	535
ENSG00000014919	COX15	323	425	337	345	452	283	432	285	419
ENSG00000015133	CCDC88C	243	302	262	225	198	232	244	516	259
ENSG00000015153	YAF2	233	296	177	311	389	239	236	175	214
ENSG00000015171	ZMYND11	1166	1511	1006	1154	964	1204	1596	1564	1224
ENSG00000015285	WAS	44	29	37	20	31	20	30	29	20
ENSG00000015413	DPEP1	7	4	30	20	13	6	6	17	17
ENSG00000015475	BID	258	218	209	281	262	176	199	259	290
ENSG00000015479	MATR3	63	139	81	115	121	139	136	144	151
ENSG00000015520	NPC1L1	5	2	2	3	1	2	1	2	3
ENSG00000015532	XYLT2	908	936	866	946	805	757	634	805	1014
ENSG00000015568	RGPD5	4	1	1	5	10	5	11	11	4
ENSG00000015592	STMN4	7	4	6	3	12	19	11	2	13
ENSG00000015676	NUDCD3	1166	1183	1415	1243	1085	1069	1295	1676	1354
ENSG00000016082	ISL1	0	3	9	12	15	7	2	2	12
ENSG00000016391	CHDH	97	102	86	107	77	117	115	118	144
ENSG00000016402	IL20RA	9	7	11	6	8	12	21	9	6
ENSG00000016490	CLCA1	0	1	4	0	0	0	0	0	1
ENSG00000016602	CLCA4	0	1	0	0	0	0	0	0	0
ENSG00000016864	GLT8D1	703	763	739	616	740	587	727	987	831
ENSG00000017260	ATP2C1	1108	1259	1023	1024	1027	1043	1516	1286	1140
ENSG00000017427	IGF1	14	12	28	31	36	28	25	7	24
ENSG00000017483	SLC38A5	40	43	85	115	146	68	33	168	83
ENSG00000017797	RALBP1	869	1013	980	858	779	859	1212	933	935
ENSG00000018189	RUFY3	552	714	408	504	479	500	669	890	676
ENSG00000018236	CNTN1	65	114	102	89	129	136	73	116	155
ENSG00000018280	SLC11A1	50	76	69	26	15	38	37	11	43
ENSG00000018408	WWTR1	1771	1829	1509	1741	1586	1886	2074	1041	1971
ENSG00000018510	AGPS	450	497	417	484	488	503	713	403	680
ENSG00000018607	ZNF806	0	0	1	0	2	0	0	2	1
ENSG00000018610	STEEP1	202	208	192	147	197	146	265	230	154
ENSG00000018625	ATP1A2	692	538	869	1048	1046	833	750	360	802
ENSG00000018699	TTC27	255	369	290	328	310	271	336	310	300
ENSG00000018869	ZNF582	52	35	45	29	30	32	48	98	44
ENSG00000019102	VSIG2	82	52	58	41	29	52	73	15	57
ENSG00000019144	PHLDB1	3912	4330	4309	3105	2769	3335	4110	2186	4781
ENSG00000019169	MARCO	2	0	2	0	0	2	3	9	0
ENSG00000019186	CYP24A1	0	0	0	0	0	0	0	44	0
ENSG00000019485	PRDM11	912	822	1152	787	609	757	851	1130	1310
ENSG00000019505	SYT13	20	41	161	166	182	60	51	160	221
ENSG00000019549	SNAI2	481	408	593	412	475	354	472	1554	495
ENSG00000019582	CD74	599	585	261	187	248	283	403	336	314
ENSG00000019991	HGF	76	148	157	190	171	155	162	132	235
ENSG00000019995	ZRANB1	434	500	451	418	349	471	546	461	340
ENSG00000020129	NCDN	675	796	663	550	526	505	634	730	859
ENSG00000020181	ADGRA2	1760	1630	3125	2509	1884	1912	1439	3248	3178
ENSG00000020219	CCT8L1P	0	0	1	0	0	0	0	6	0
